"brokerage_name","apartment_id","latitude","longitude","date_available","bedrooms","beds_count","bathrooms","rent","city","state","area","neighborhood","metro_id","neighborhood_id","sub_neighborhood_id","metro_name","nbhd_name","sub_nbhd_name","source","zip","address","apply_token_url","exclusive_by","mls_id","status","hide_rb_cp","hide_partner_cp","is_featured","match_type","Scrape_Date"
"",438273,42.3442914,-71.1008899,"2019-01-03",1,1,1,3024,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1142789,42.3444208,-71.0983795,"2019-01-02",2,2,2,5851,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2162698,42.344518,-71.099107,"2018-11-15",1,1,1,3775,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",438287,42.3442914,-71.1008899,"2019-01-03",1,1,1,2749,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1079845,42.3442914,-71.1008899,"2018-11-16",2,2,2,6283,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",931123,42.3442914,-71.1008899,"2018-12-25",1,1,1,2769,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",697653,42.3442914,-71.1008899,"2018-12-05",2,2,2,5397,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",438329,42.3442914,-71.1008899,"2018-11-16",3,3,3,9330,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1225284,42.3444208,-71.0983795,"2018-11-15",2,2,2,5997,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2536538,42.3444208,-71.0983795,"2018-12-28",1,1,1.5,5354,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2491245,42.3444208,-71.0983795,"2018-12-05",1,1,1,4840,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2491246,42.3444208,-71.0983795,"2018-12-28",1,1,1.5,5194,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1896304,42.3436691,-71.1019491,"2018-11-15",2,2,2,5605,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","200 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2468238,42.3442914,-71.1008899,"2018-12-20",1,1,1,3469,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2580373,42.3444208,-71.0983795,"2018-12-11",1,1,1.5,4939,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1308315,42.3442914,-71.1008899,"2018-11-16",1,1,1,3261,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1964742,42.3444208,-71.0983795,"2019-02-12",1,1,1.5,3976,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1330 Boylston Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",71131,42.342022,-71.097574,"2019-01-01",1,1.5,1,3000,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","121 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2589412,42.344518,-71.099107,"2019-01-07",0,0,1,2950,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",382186,42.341385,-71.098431,"2019-01-01",0,0,1,1850,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","149 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1656560,42.344518,-71.099107,"2018-12-29",1,1,1,3981,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","1325 Boylston Street Boston","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2519805,42.3442914,-71.1008899,"2018-12-07",1,1,1,2931,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Star Lord","02215","180 Brookline Avenue","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",1883748,42.341679,-71.098176,"2019-01-01",0,0,1,1850,"Boston","Massachusetts","Boston - Fenway - Kenmore - Audubon Circle - Longwood","Fenway - Kenmore - Audubon Circle - Longwood",0,4279,16782,"","Fenway - Kenmore - Audubon Circle - Longwood",16782,"Office","02215","137 Park Drive","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2599426,42.373391,-71.0387498,"2018-10-31",1,1,1,1800,"Boston","Massachusetts","Boston - Central Maverick Square - Paris Street","Central Maverick Square - Paris Street",4278,16803,0,"East Boston","Central Maverick Square - Paris Street",0,"Office","02128","125 London Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
"",2179845,42.3672319,-71.0407704,"2018-11-13",2,2,2,3495,"Boston","Massachusetts","Boston - Central Maverick Square - Paris Street","Central Maverick Square - Paris Street",4278,16803,0,"East Boston","Central Maverick Square - Paris Street",0,"Star Lord","02128","50 Lewis Street","","","","Active",0,0,FALSE,"exact","13-11-2018"
